"Restaurant.and.hotels.Expenditure","Alcoholic.Beverages.Expenditure","Tobacco.Expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Medical.Care.Expenditure","Transportation.Expenditure","Communication.Expenditure","Education.Expenditure","Miscellaneous.Goods.and.Services.Expenditure","Special.Occasions.Expenditure"
20228,0,0,10781,37656,11540,20082,6000,58000,15318,4000
46996,2660,0,11886,65820,15052,17472,10200,73800,70896,14000
24496,0,0,8122,43074,29075,12372,4716,52000,11118,2000
14900,480,0,5625,40962,5482,16608,9960,11600,15174,1000
30118,600,0,16400,67740,4642,75564,14688,4650,37536,32000
20194,0,0,9862,61470,804,7776,6954,12200,25860,13000
7720,0,0,8427,38634,328,23352,2280,0,16236,8000
25000,840,0,15816,123540,2561,48354,10404,7000,19788,31500
11578,5700,3620,6646,58134,3892,21822,4440,2050,18636,13000
16070,0,0,5039,32232,285,14760,2280,15400,24450,5500
28994,0,0,56566,35550,15720,10368,4080,69900,15054,2000
0,0,3620,450,8088,0,1002,360,0,1320,0
0,300,1040,1105,9570,80,696,180,0,1116,0
1645,2920,6136,3492,11328,6654,9318,360,610,4440,0
1571,1620,0,1825,9642,38221,1050,360,2250,3408,1500
1946,938,3630,1240,14136,552,5040,1248,910,5322,0
1290,0,0,1465,15528,1240,3522,960,460,4362,0
5340,390,0,3678,10836,505,900,960,1326,5574,0
30200,840,4525,4615,40308,1076,7548,6960,0,20610,3000
3740,0,0,1815,12336,2008,1092,0,490,3540,2000
300,168,0,500,4938,725,3420,0,0,1596,0
3060,300,7240,1340,16044,740,3030,720,710,4728,8000
2990,0,0,449,11952,2524,1422,600,500,1512,0
3315,80,0,4054,13932,340,6384,1920,250,15696,3500
34260,0,2715,8978,15870,540,12552,3000,2250,18966,10890
3200,732,0,4420,17034,2680,1176,684,3620,8760,4200
3000,2190,880,5940,18900,2280,3600,480,1110,7560,4000
44000,0,0,112830,91866,40980,60750,50280,44772,60936,35000
2000,0,0,0,222258,10630,17202,7080,0,6600,10000
8400,0,0,3000,24924,5745,7980,2880,0,7440,3500
41600,0,0,24200,181926,83250,29796,14700,47000,75618,2000
6900,1170,910,3490,8700,1675,3120,0,4300,1404,0
26200,0,0,6785,206778,6450,73002,9600,43600,9180,9500
56000,0,0,42980,144480,8500,70098,17640,83400,47124,33000
30500,0,0,15100,170376,10100,15000,3480,0,24000,12000
3500,1170,0,20760,45600,30090,20898,12360,9850,30084,7000
8000,900,3120,4040,54816,19251,16398,4800,0,14130,8500
6400,480,1300,15760,53100,21770,12702,7800,12000,30834,30500
12300,0,0,2790,12600,1435,5400,1800,2500,5340,0
15000,1800,0,12250,64560,24436,20298,7440,2750,27144,18000
0,0,0,3535,13080,2790,6480,1980,0,8856,2500
192454,3792,10860,11645,61314,3396,1962,1260,5120,12378,11600
1500,1275,0,8905,43794,5392,21132,7680,1390,9084,8000
4900,720,5172,1215,10194,405,9264,1662,8145,10758,0
18800,0,8310,1545,17250,441,10518,1518,835,11814,0
18200,23750,0,6564,17028,2380,22572,7200,0,16206,0
51224,0,0,8895,54786,912,15600,10920,32500,11952,6000
21500,0,0,17004,52500,6000,22422,3744,31246,20478,4000
3400,95,0,350,34260,108,2904,900,4200,9576,0
19280,0,0,345,39678,12420,11664,3282,40340,4032,0
5250,360,3640,145,8208,76,1434,1224,800,2808,0
6280,3092,8326,990,12456,225,12000,306,0,4050,2500
5980,4160,7695,5130,23148,298,5880,144,0,3510,0
6020,0,0,2015,13860,435,2160,1380,900,7158,0
6800,0,260,1020,30270,590,8718,2700,2248,8994,0
3000,7410,21800,3660,15570,1945,10410,3192,4575,12258,0
11180,2884,3620,2561,27168,1430,4740,2868,1810,19026,7000
0,840,0,200,21276,6584,2184,1800,0,5394,2200
8580,1920,0,800,31944,3654,8964,3792,19000,8496,2000
1900,1860,6335,7853,41448,1463,1656,4680,750,24342,13000
2560,3420,13575,4323,63348,3416,21240,2700,1310,14964,5000
3080,0,0,2345,13188,1598,4464,744,550,4692,0
3340,6930,16833,18257,41400,102440,6306,4800,0,25068,11486
7880,0,0,2873,58812,12542,25260,3936,69650,37908,3000
4500,0,0,2821,9660,5057,5016,1752,17300,11598,0
3320,5330,4160,4089,18594,838,7296,1080,1158,14184,0
2290,1872,0,2431,35880,480,7170,900,574,10980,10565
2820,0,0,3605,13230,1579,7800,384,200,7032,0
8740,558,2172,4615,13488,698,624,1080,200,4320,7590
3320,960,1300,7336,46110,1490,912,0,1140,14718,13000
