"Total.Food.Expenditure","Bread.and.Cereals.Expenditure","Total.Rice.Expenditure","Meat.Expenditure","Total.Fish.and..marine.products.Expenditure","Fruit.Expenditure","Vegetables.Expenditure"
64044,19885,13104,17022,7524,280,3672
52707,14112,12974,5911,7680,2415,3745
44945,14345,10660,3239,4905,2460,3128
118200,68132,51206,10311,12584,1197,6241
58279,39116,34266,2252,4333,155,1878
18052,8734,0,1080,2542,205,1424
85381,27552,23616,5986,12464,1760,4035
98039,28740,19032,20040,12982,630,2552
61498,36127,22295,2560,11208,445,2758
49563,20868,17862,3050,8996,600,3966
33433,17586,5200,2400,5048,165,2001
36379,11912,2700,3890,8616,475,5146
94137,32292,24750,15668,25736,815,4966
73271,20449,6297,16086,19569,230,4552
41558,21397,16405,4410,5172,1245,2243
39134,14924,1380,2010,13418,410,3057
7676,5009,4440,445,1157,125,126
80781,43747,32370,3540,15872,380,5053
51292,21146,19136,9394,5726,620,3430
39443,17588,9300,3256,2998,512,2051
55204,25269,18980,5160,5025,250,4542
30666,17332,16796,2680,4404,385,1172
41001,27177,22425,1215,3932,390,1164
65407,31765,24518,14137,7498,1827,2762
48777,24466,22824,5742,3980,715,2977
52457,25804,22824,5678,7304,190,2857
29211,15712,12714,1990,3570,1315,3292
19108,3463,0,4222,2902,335,2626
64297,24227,22542,9947,8472,2085,3318
19072,6650,4236,715,4816,245,2002
